Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
3month_rolling,,Ear Tubes  (Pediatric),,Zone 3,Cape Breton Regional,2025,1,19,49,34,71
2024_q3,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2024,3,176,736,94,147
12month_rolling,Ophthalmology,All,"Chan, Wesley",,,,,,,46,98
12month_rolling,Orthopaedic,All,"Urquhart, Nathan Alexander",,,,,60,277,95,251
2024_q4,,Knee Replacement Revision,,Total,Provincial,2024,4,77,364,80,474
12month_rolling,Neurosurgery,Craniotomy or Craniectomy,"Walling, Simon",,,,,49,49,32,91
2023_q4,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2023,4,15,104,24,45
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Nader, Nabil",,,,,11,20,22,47
2025_q1,,Breast Cancer Surgery,,Zone 3,Cape Breton Regional,2025,1,8,20,16,39
2023_q4,,Coronary Artery Bypass Graft,,Total,Provincial,2023,4,,,7,30
2023_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2023,3,15,21,37,91
2024_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2024,4,268,433,238,388
12month_rolling,Urology,Male Circumcision  (Adult),"Puthenparumpil, Jacob",,,,,126,217,290,380
2023_q4,,Gastric Surgery - Laparoscopic,,Total,Provincial,2023,4,102,645,107,342
3month_rolling,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,138,231,92,132
12month_rolling,Orthopaedic,Foot - Bunionectomy,"Glazebrook, Mark A",,,,,195,678,141,193
12month_rolling,,Hernia Repair - Parastomal,,Total,Provincial,2025,1,,,165,851
12month_rolling,Plastic Surgery,All,"Boehm, Kaitlin",,,,,73,557,71,243
2023_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Valley Regional,2023,1,564,694,325,561
12month_rolling,Orthopaedic,Knee Replacement,"Van Graan, Wouter",,,,,167,638,93,165
2024_q3,,Prostate Surgery,,Zone 3,Northside General,2024,3,,,41,97
12month_rolling,General Surgery,Bariatric Surgery (for Weight Loss),"Ellsmere, James C",,,,,102,196,232,400
12month_rolling,Orthopaedic,Shoulder Surgery,"Ferguson, Devin",,,,,69,93,75,118
2023_q1,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2023,1,,,22,42
2023_q2,,Bladder Cancer Surgery,,Zone 4,Dartmouth General,2023,2,34,74,179,"1,174"
12month_rolling,General Surgery,Hernia Repair  (Adult),"Watson-Jessome, Jane",,,,,232,291,40,134
2023_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2023,4,,,136,282
2023_q2,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2023,2,70,342,71,184
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Hudgins, Sarah",,,,,172,475,360,597
12month_rolling,General Surgery,Gallbladder Surgery,"MacDonald, Blair",,,,,45,146,43,74
2024_q1,,Cystoscopy,,Total,Provincial,2024,1,33,174,38,190
2025_q1,,Hernia Repair  (Adult),,Zone 2,Cumberland Regional,2025,1,41,205,69,111
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Okuboyejo, Fazil",,,,,21,27,40,83
12month_rolling,Urology,Kidney Stone Surgery,"Ory, Jesse",,,,,48,120,77,99
2023_q2,,Hemorrhoidectomy,,Total,Provincial,2023,2,112,259,99,540
2024_q3,,Cystoscopy,,Total,Provincial,2024,3,38,150,43,185
2025_q1,,Hernia Repair  (Pediatric),,Total,Provincial,2025,1,73,102,45,141
12month_rolling,General Surgery,All,"Mitchell, Alex D",,,,,50,87,72,72
2023_q1,,Prostate Surgery,,Zone 3,Northside General,2023,1,,,29,76
2024_q1,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2024,1,56,94,81,122
2025_q1,,Bone / Cartilage Graft,,Total,Provincial,2025,1,120,253,216,368
2023_q4,,Hand / Upper Extremity,,Zone 4,QE2,2023,4,146,576,87,397
2025_q1,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,13,20,47,61
3month_rolling,,Knee Scope,,Zone 3,Glace Bay,2025,1,,,101,230
2023_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Total,Provincial,2023,1,28,123,38,141
12month_rolling,,Wound Management,,Total,Provincial,2025,1,22,144,11,61
2024_q2,,Hip Replacement,,Zone 2,Aberdeen Hospital,2024,2,79,283,99,253
12month_rolling,Plastic Surgery,Nerve Surgery,"Krauss, Emily",,,,,76,422,36,81
2023_q3,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2023,3,138,528,63,610
12month_rolling,Ophthalmology,All,"George, Stanley",,,,,36,73,97,298
12month_rolling,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2025,1,14,55,22,101
2024_q3,,Cataract Surgery,,Zone 1,Soldiers Memorial,2024,3,98,153,27,73
2024_q2,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2024,2,36,574,20,71
12month_rolling,Urology,Prostate Surgery,"Massaro, Peter",,,,,18,100,211,470
12month_rolling,,Wound Management,,IWK,IWK,2025,1,,,5,61
2024_q3,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2024,3,21,99,39,129
12month_rolling,Urology,Prostate Cancer Surgery,"Kokorovic, Andrea",,,,,33,67,93,150
2023_q1,,Carotid Endarterectomy,,Total,Provincial,2023,1,,,11,97
2024_q3,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2024,3,21,107,50,83
2023_q3,,Septoplasty,,Zone 1,Valley Regional,2023,3,204,409,120,205
12month_rolling,,Cystoscopy,,Total,Provincial,2025,1,36,162,42,175
12month_rolling,General Surgery,Pancreas Surgery,"Hiebert, Stephanie",,,,,15,28,36,69
2024_q1,,Nerve Surgery,,Zone 4,QE2,2024,1,50,287,37,98
12month_rolling,Orthopaedic,Knee Replacement,"O'Brien, David A",,,,,432,694,230,490
2024_q4,,Strabismus Surgery  (Pediatric),,IWK,IWK,2024,4,,,140,458
12month_rolling,Thoracic Surgery,Gastric Surgery - Laparoscopic,"Mujoomdar, Aneil Arvind",,,,,53,158,43,108
12month_rolling,Cardiac Surgery,Pacemaker Insertion,"Hirsch, Gregory M",,,,,,,23,51
2024_q1,,Lung Surgery,,Total,Provincial,2024,1,23,49,39,84
2023_q4,,Hip Replacement,,Zone 1,Valley Regional,2023,4,226,419,434,652
12month_rolling,General Surgery,Colorectal Cancer Surgery,"McWilliams, Colin",,,,,8,16,16,20
2024_q1,,Shoulder Surgery,,Zone 1,Valley Regional,2024,1,91,282,238,370
3month_rolling,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2025,1,104,219,135,295
2023_q1,,Carpal Tunnel Surgery,,Zone 4,Hants Community Hospital,2023,1,111,412,34,129
12month_rolling,General Surgery,Thyroid or Parathyroid Surgery,"Wasserman, Lukas",,,,,42,125,158,207
2023_q1,,Cataract Surgery,,Zone 1,Soldiers Memorial,2023,1,28,104,113,193
2024_q2,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2024,2,21,53,71,180
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Murdoch, John L",,,,,238,379,118,307
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Booth, John",,,,,62,192,28,45
2023_q1,,Craniotomy or Craniectomy,,Total,Provincial,2023,1,,,62,274
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Ross, Ian W",,,,,41,41,43,136
12month_rolling,General Surgery,All,"Enright, Jonathan Boyde",,,,,122,670,73,199
12month_rolling,Plastic Surgery,Tendon / Ligament Repair,"Bezuhly, Michael",,,,,99,223,97,207
12month_rolling,General Surgery,Hernia Repair  (Pediatric),"Blackmore, Christopher",,,,,70,108,128,373
2024_q4,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2024,4,21,76,42,76
2024_q2,,Orthopaedic Trauma,,Zone 4,QE2,2024,2,,,56,156
12month_rolling,,Oculo Plastic Surgery,,Total,Provincial,2025,1,62,361,104,313
2023_q2,,Strabismus Surgery  (Pediatric),,IWK,IWK,2023,2,107,230,204,347
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Joshi, Changulanda",,,,,300,588,166,183
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Ferguson, Devin",,,,,69,93,78,118
2023_q2,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2023,2,23,46,32,83
12month_rolling,Neurosurgery,Cervical Spine (Neck) Surgery,"Barry, Sean",,,,,51,162,84,184
2024_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2024,1,133,750,155,309
2024_q1,,Pelvic Floor Repair,,Total,Provincial,2024,1,131,868,188,342
2023_q3,,Cystoscopy,,Zone 1,South Shore Regional,2023,3,32,96,36,140
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2024,2,,,49,127
2024_q2,,Hysteroscopy,,Zone 3,Cape Breton Regional,2024,2,,,43,336
2023_q4,,Hernia Repair  (Adult),,Zone 3,Inverness Consolidated Memorial,2023,4,,,63,366
12month_rolling,General Surgery,Bowel Resection,"Gala Lopez, Boris",,,,,16,35,30,38
2025_q1,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2025,1,74,384,62,156
2023_q4,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2023,4,102,867,107,402
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Joy, Edward",,,,,56,112,80,115
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2025,1,60,208,111,402
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Poushay, Heather",,,,,14,61,11,39
2023_q4,,Cystoscopy,,Zone 4,Dartmouth General,2023,4,39,115,117,581
2024_q4,,Nose Surgery - Reconstructive or Aesthetic,,Total,Provincial,2024,4,22,64,37,184
12month_rolling,General Surgery,Male Reproductive System Surgery,"Nader, Nabil",,,,,91,175,50,159
2023_q2,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2023,2,49,318,38,88
2023_q1,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2023,1,77,483,118,376
2025_q1,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2025,1,45,498,21,79
2024_q3,,Prostate Surgery - Laparoscopic,,Total,Provincial,2024,3,37,153,160,242
12month_rolling,Orthopaedic,Knee Replacement,"Smith, Thomas Duncan",,,,,,,252,365
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Blackmore, Christopher",,,,,45,73,41,127
2023_q4,,Septoplasty,,Zone 3,St. Martha's Regional,2023,4,185,217,51,134
12month_rolling,Thoracic Surgery,Esophagoscopy,"French, Daniel Gerard",,,,,37,371,15,27
12month_rolling,Ophthalmology,Cataract Surgery,"Iaboni, Douglas",,,,,20,251,52,66
2023_q3,,Insertion Vascular Access Catheter,,IWK,IWK,2023,3,,,13,204
12month_rolling,,Gastric Surgery - Laparoscopic,,Zone 1,Valley Regional,2025,1,386,706,107,168
2023_q4,,Male Reproductive System Surgery,,Total,Provincial,2023,4,69,273,122,447
2024_q4,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,4,,,42,75
2024_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Martha's Regional,2024,4,,,33,39
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Brooks, Melissa",,,,,42,358,75,120
12month_rolling,,Hand / Upper Extremity,,Zone 1,South Shore Regional,2025,1,107,129,182,400
2024_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2024,3,38,94,108,245
3month_rolling,,Knee Replacement Revision,,Total,Provincial,2025,1,45,175,77,190
12month_rolling,Orthopaedic,Knee Scope,"Van Graan, Wouter",,,,,84,106,57,87
2025_q1,,Hernia Repair - Umbilical,,Zone 1,Valley Regional,2025,1,106,409,52,276
2024_q3,,Maxillofacial Deformity Surgery,,Zone 4,QE2,2024,3,342,595,240,588
12month_rolling,Urology,Prostate Surgery,"Mason, Ross",,,,,72,345,117,212
2024_q4,,Carpal Tunnel Surgery,,Total,Provincial,2024,4,83,345,54,210
2024_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Martha's Regional,2024,3,159,293,163,310
12month_rolling,Orthopaedic,All,"Tucker, Allison",,,,,79,205,38,127
12month_rolling,,Sacral Nerve Stimulation,,Zone 4,QE2,2025,1,89,91,134,230
2023_q1,,Male Circumcision  (Adult),,Zone 4,Hants Community Hospital,2023,1,,,255,445
2023_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2023,4,35,86,71,120
2023_q2,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2023,2,15,34,24,36
2024_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2024,4,237,486,216,452
2023_q4,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2023,4,155,490,62,191
2024_q2,,Hemorrhoidectomy,,Total,Provincial,2024,2,192,585,84,282
2023_q1,,Gallbladder Surgery,,Zone 4,Dartmouth General,2023,1,101,255,76,187
3month_rolling,,Prostate Cancer Surgery,,Zone 4,QE2,2025,1,20,50,99,161
2023_q1,,Knee Replacement,,Zone 3,Cape Breton Regional,2023,1,151,217,134,380
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Bal, Navpreet",,,,,54,196,44,72
12month_rolling,Orthopaedic,Hip Replacement,"Gross, Michael",,,,,287,364,55,120
2024_q4,,Hand / Upper Extremity,,Zone 4,QE2,2024,4,45,192,132,576
12month_rolling,Urology,Male Circumcision  (Pediatric),"Miller, M Dale",,,,,105,327,76,176
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2025,1,65,355,75,235
2023_q2,,Gastric Surgery,,Zone 4,QE2,2023,2,18,25,42,80
2023_q2,,Esophagoscopy,,Total,Provincial,2023,2,,,19,51
2024_q4,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2024,4,34,82,112,251
2024_q3,,Hernia Repair  (Adult),,Zone 3,Inverness Consolidated Memorial,2024,3,,,43,70
2023_q4,,Cataract Surgery,,Zone 1,South Shore Regional,2023,4,126,156,218,377
12month_rolling,Urology,Bladder Cancer Surgery,"Rendon, Ricardo",,,,,8,41,37,111
2024_q4,,Nerve or Brain Stimulation,,Zone 4,QE2,2024,4,,,29,37
2023_q4,,Gastric Surgery,,Zone 4,QE2,2023,4,23,38,55,109
12month_rolling,,Meniscectomy,,Zone 4,QE2,2025,1,,,180,353
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Johnston, David G",,,,,152,625,405,749
2023_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2023,3,62,280,66,109
2023_q4,,Knee Scope,,Zone 4,QE2,2023,4,94,108,327,667
12month_rolling,Urology,Cystoscopy,"McCarthy, John Paul",,,,,86,170,36,196
2023_q2,,Shoulder Arthroscopy,,Zone 4,QE2,2023,2,111,326,261,527
2023_q2,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2023,2,82,182,81,304
12month_rolling,Urology,Cystoscopy,"MacLellan, Dawn",,,,,53,70,29,87
2023_q1,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2023,1,43,106,54,167
12month_rolling,Thoracic Surgery,Lung Surgery,"Ednie, Alexander",,,,,28,44,34,77
12month_rolling,Orthopaedic,Knee Scope,"O'Brien, David A",,,,,329,484,134,524
2024_q1,,Kidney Stone Surgery,,Total,Provincial,2024,1,25,113,55,142
2024_q2,,Knee Replacement Revision,,Zone 4,Dartmouth General,2024,2,,,68,138
2024_q2,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2024,2,220,543,76,171
12month_rolling,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2025,1,204,476,186,313
2023_q1,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2023,1,,,46,570
12month_rolling,Plastic Surgery,Breast Reduction Surgery,"Boehm, Kaitlin",,,,,,,571,580
2023_q2,,Hernia Repair  (Pediatric),,Total,Provincial,2023,2,60,112,119,324
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Faryniuk, Andrea Marie",,,,,24,28,28,42
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Adult),"Balys, Richard L",,,,,53,558,77,95
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Kupfer, Nathalie",,,,,39,427,41,97
2023_q2,,Bowel Resection,,Zone 4,QE2,2023,2,17,100,34,248
12month_rolling,Plastic Surgery,All,"Bezuhly, Michael",,,,,98,142,113,299
12month_rolling,Thoracic Surgery,Lung Surgery,"Wallace, Alison",,,,,37,100,29,70
2024_q2,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2024,2,188,329,86,127
2023_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2023,4,20,32,,
2023_q1,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2023,1,63,246,376,978
2023_q3,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2023,3,,,21,73
2024_q3,,Oculo Plastic Surgery,,Zone 3,Cape Breton Regional,2024,3,,,202,323
2023_q4,,Male Reproductive System Surgery,,Zone 4,QE2,2023,4,64,231,62,224
12month_rolling,Ophthalmology,Cataract Surgery,"de Saint Sardos, Alexandre Guy William",,,,,131,168,81,159
2023_q1,,Dental Extractions and Restorations  (Adult),,Zone 3,Cape Breton Regional,2023,1,,,47,60
2023_q4,,Bowel Resection,,Zone 4,QE2,2023,4,22,262,31,134
2025_q1,,Ear Tubes  (Pediatric),,Total,Provincial,2025,1,59,321,63,132
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Black, Brittany",,,,,43,70,245,332
2023_q1,,Prostate Cancer Surgery,,Zone 4,QE2,2023,1,19,48,165,201
2025_q1,,Breast Reconstruction,,Total,Provincial,2025,1,69,"1,029",96,352
12month_rolling,Neurosurgery,Spinal Cord Stimulation Surgery,"Weise, Lutz",,,,,52,188,71,120
2023_q4,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,4,33,164,75,140
12month_rolling,Neurosurgery,Craniotomy or Craniectomy,"Weise, Lutz",,,,,177,"1,000",98,162
2023_q4,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2023,4,,,84,232
2024_q3,,Bowel Resection - Open,,Zone 1,South Shore Regional,2024,3,20,37,29,57
2024_q4,,Back Surgery  (Pediatric),,IWK,IWK,2024,4,,,195,517
2024_q1,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2024,1,22,34,46,102
2024_q1,,Male Circumcision  (Pediatric),,IWK,IWK,2024,1,,,39,545
12month_rolling,Plastic Surgery,Tendon / Ligament Repair,"Paletz, Justin L",,,,,566,579,47,95
2024_q1,,Knee Replacement,,Zone 2,Aberdeen Hospital,2024,1,150,281,78,303
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"James, Lindsay",,,,,130,519,144,861
2024_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2024,2,65,356,96,165
2024_q4,,Cystoscopy,,Zone 4,QE2,2024,4,41,122,49,144
2024_q2,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2024,2,,,32,106
2024_q2,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2024,2,51,334,51,114
12month_rolling,Orthopaedic,Knee Scope,"Wong, Ivan",,,,,30,49,151,291
2024_q3,,Sacral Nerve Stimulation,,Zone 4,QE2,2024,3,,,101,230
2023_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2023,2,28,59,81,120
12month_rolling,,Tendon / Ligament Repair,,Zone 2,Aberdeen Hospital,2025,1,77,131,102,188
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Houck, Leslie",,,,,59,259,63,111
12month_rolling,Neurosurgery,Nerve or Brain Stimulation,"McNeely, P Daniel",,,,,2,2,23,123
2025_q1,,Male Reproductive System Surgery,,IWK,IWK,2025,1,,,123,473
2024_q3,,Breast Reduction Surgery,,Zone 4,QE2,2024,3,"1,159","1,573",76,152
2023_q1,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2023,1,30,127,23,98
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2024,1,132,314,,
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Osasere, Michael",,,,,29,76,157,335
12month_rolling,General Surgery,Hemorrhoidectomy,"Archibald, Alison",,,,,219,"1,398",50,203
12month_rolling,General Surgery,All,"Dzierzanowski, Martin",,,,,42,77,69,160
12month_rolling,Ophthalmology,All,"Murphy, Jeremy",,,,,92,135,86,148
2024_q3,,Back Surgery  (Adult),,Total,Provincial,2024,3,112,534,87,253
2023_q1,,Cardiovascular Surgery,,Zone 4,QE2,2023,1,,,12,141
2023_q1,,Prostate Surgery - Laparoscopic,,Total,Provincial,2023,1,20,48,166,201
2023_q2,,Cataract Surgery,,Zone 4,QE2,2023,2,78,212,66,276
2025_q1,,Surgery for Hearing or Balance Problems of the Ear,,IWK,IWK,2025,1,64,329,77,174
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2025,1,68,260,116,208
2023_q1,,Hysteroscopy,,Zone 3,Cape Breton Regional,2023,1,,,66,256
2023_q4,,Cataract Surgery,,Zone 4,QE2,2023,4,92,238,66,237
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Joy, Edward",,,,,27,123,33,74
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Nader, Nabil",,,,,11,19,19,41
2023_q2,,Cystoscopy,,Zone 1,South Shore Regional,2023,2,40,61,29,66
2023_q4,,Nerve Surgery,,Zone 4,QE2,2023,4,86,540,13,109
2023_q1,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2023,1,,,106,167
2023_q1,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2023,1,55,182,38,398
2024_q1,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2024,1,23,44,41,84
2024_q3,,Tendon / Ligament Repair,,Total,Provincial,2024,3,76,309,64,387
2025_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Martha's Regional,2025,1,34,240,275,573
2023_q1,,Whipple Procedures,,Zone 4,QE2,2023,1,9,14,24,62
12month_rolling,General Surgery,AV Fistula Creation/Closure,"Hiebert, Stephanie",,,,,14,38,25,93
2024_q3,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2024,3,,,57,120
2023_q1,,Kidney Stone Surgery,,Zone 1,Valley Regional,2023,1,,,32,66
2023_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2023,2,14,97,40,53
2025_q1,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2025,1,14,27,31,36
12month_rolling,General Surgery,Bowel Resection,"McWilliams, Colin",,,,,10,40,20,22
12month_rolling,Plastic Surgery,Carpal Tunnel Surgery,"Singh, Ashvir",,,,,54,385,99,185
2025_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2025,1,120,380,122,159
12month_rolling,Orthopaedic,Cervical Spine (Neck) Surgery,"Glennie, Raymond Andrew",,,,,65,275,74,146
3month_rolling,Plastic Surgery,,,,,2025,1,,,68,295
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2025,1,317,395,167,341
12month_rolling,Obstetrics/Gynaecology,All,"McIntyre, Alison",,,,,27,364,35,76
12month_rolling,Ophthalmology,All,"Oladiwura, Dilys",,,,,154,826,118,245
2025_q1,,Hysteroscopy,,Zone 1,Yarmouth Regional,2025,1,44,138,30,52
12month_rolling,General Surgery,Bowel Resection,"Hossain, Farisa",,,,,17,74,27,51
2024_q2,,Breast Reduction Surgery,,Total,Provincial,2024,2,989,"1,226",100,362
2023_q1,,Brain Surgery  (Pediatric),,Total,Provincial,2023,1,,,92,214
2024_q1,,Gastrointestinal Tract Surgery,,IWK,IWK,2024,1,,,76,103
2023_q4,,Sacral Nerve Stimulation,,Total,Provincial,2023,4,,,127,168
2023_q2,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2023,2,26,48,90,307
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"Dodd, Faith",,,,,158,320,69,98
2023_q3,,Carpal Tunnel Surgery,,Total,Provincial,2023,3,70,335,73,228
2025_q1,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2025,1,55,374,84,373
2023_q1,,Tendon / Ligament Repair,,Total,Provincial,2023,1,85,365,119,431
2023_q4,,Hand / Upper Extremity,,Total,Provincial,2023,4,112,378,97,419
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Bezuhly, Michael",,,,,92,92,233,389
2023_q2,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2023,2,20,67,100,163
12month_rolling,Obstetrics/Gynaecology,All,"Bal, Navpreet",,,,,51,423,45,231
2023_q2,,Functional Endoscopic Sinus Surgery (FESS),,Zone 1,Valley Regional,2023,2,,,71,146
2024_q1,,Gastrointestinal Tract Surgery,,Total,Provincial,2024,1,43,231,48,120
2025_q1,,Carotid Endarterectomy,,Total,Provincial,2025,1,,,10,26
2024_q2,,Lung Surgery,,Total,Provincial,2024,2,24,78,29,62
2024_q2,,Insertion Vascular Access Catheter,,IWK,IWK,2024,2,,,40,166
2023_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2023,4,170,371,60,140
2024_q2,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2024,2,29,332,42,58
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Johnson, Liane",,,,,89,326,79,153
2024_q2,,Kidney Stone Surgery,,Zone 4,Dartmouth General,2024,2,51,100,,
2023_q3,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2023,3,17,63,18,44
2025_q1,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2025,1,,,41,97
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Fowler, James",,,,,20,34,44,64
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Knapp, Gregory",,,,,15,33,30,46
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"McPherson, John",,,,,98,375,45,149
12month_rolling,,Whipple Procedures,,Total,Provincial,2025,1,14,28,24,57
3month_rolling,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2025,1,80,548,102,373
2024_q2,,Hysteroscopy,,Zone 1,Valley Regional,2024,2,59,159,61,135
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2025,1,115,314,49,126
2023_q1,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,Cape Breton Regional,2023,1,31,132,19,222
12month_rolling,General Surgery,All,"Murdoch, John L",,,,,220,428,72,209
12month_rolling,Ophthalmology,Vitreoretinal Diseases,"Gupta, Rudra Rishi",,,,,40,118,48,99
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Kujath, Magdalena",,,,,155,730,144,220
12month_rolling,Ophthalmology,Cataract Surgery,"Zaki, Amr M",,,,,139,631,45,177
2024_q3,,Orthopaedic Trauma,,Zone 4,QE2,2024,3,,,109,134
12month_rolling,General Surgery,Bowel Resection - Open,"Drohan, Ashley",,,,,11,55,29,35
